,seed,backend,dt,neuron_type,n_type,N,min_max_rate,max_max_rate,tau,tau_control,dimensions,base_theta,effective_theta,c,within_gain_noise_std,between_gain_noise_std,input_noise_std,task_type,full_output,trial_duration,prestim,poststim,ID,rt,estimate,control
0,3711,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,8.0,0.10852394626074292,0.0,0.01,5.656854249492381,prospective_motor,False,24.0,0.0,0.5,0.01,9017.0,0.9197286749308629,0.10852394626074292
1,1561,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,1.0052986805734978,0.0,0.02,2.0,prospective_motor,False,3.0,0.0,0.5,0.02,1069.0,0.6063914889449982,1.0052986805734978
2,2349,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,16.0,0.06841493596543921,0.0,0.01,8.0,prospective_motor,False,48.0,0.0,0.5,0.01,16003.0,0.9421523020122005,0.06841493596543921
3,3609,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,16.0,0.05237648409226228,0.0,0.01,8.0,prospective_motor,False,48.0,0.0,0.5,0.01,19366.0,0.8870561541039097,0.05237648409226228
4,4576,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,16.0,0.05787874777474587,0.0,0.02,8.0,prospective_motor,False,48.0,0.0,0.5,0.02,20551.0,1.0124602437760093,0.05787874777474587
5,4420,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.4931720801819398,0.0,0.02,2.8284271247461903,prospective_motor,False,6.0,0.0,0.5,0.02,2565.0,0.759663977477814,0.4931720801819398
6,3924,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,16.0,0.06425586177403486,0.0,0.01,8.0,prospective_motor,False,48.0,0.0,0.5,0.01,14191.0,0.9648058603729904,0.06425586177403486
7,370,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.2215888512403772,0.0,0.02,4.0,prospective_motor,False,12.0,0.0,0.5,0.02,4438.0,0.7765152240752126,0.2215888512403772
8,2013,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,16.0,0.0652954451377736,0.0,0.01,8.0,prospective_motor,False,48.0,0.0,0.5,0.01,15136.0,0.9829395095817534,0.0652954451377736
9,4336,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.5098031974954185,0.0,0.02,2.8284271247461903,prospective_motor,False,6.0,0.0,0.5,0.02,2093.0,0.7675743600967606,0.5098031974954185
10,1429,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,3.991157111218566,0.0,0.02,1.0,prospective_motor,False,0.75,0.0,0.5,0.02,242.0,0.1447598406605069,3.991157111218566
11,2407,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.24943578162695113,0.0,0.02,4.0,prospective_motor,False,12.0,0.0,0.5,0.02,4178.0,0.8878675757588668,0.24943578162695113
12,2396,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,3.998363585648243,0.0,0.03,1.0,prospective_motor,False,0.75,0.0,0.5,0.03,254.0,-0.0070941542893001915,3.998363585648243
13,844,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,2.011306649907585,0.0,0.02,1.4142135623730951,prospective_motor,False,1.5,0.0,0.5,0.02,451.0,0.26952056147489833,2.011306649907585
14,2260,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.24990004978361197,0.0,0.02,4.0,prospective_motor,False,12.0,0.0,0.5,0.02,4116.0,0.8894281019969993,0.24990004978361197
15,1202,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,2.0185713055859993,0.0,0.03,1.4142135623730951,prospective_motor,False,1.5,0.0,0.5,0.03,500.0,0.3697444887049049,2.0185713055859993
16,4150,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.2312535063401534,0.0,0.02,4.0,prospective_motor,False,12.0,0.0,0.5,0.02,3511.0,0.8891484656258354,0.2312535063401534
17,5202,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,8.0,0.1174420109352421,0.0,0.01,5.656854249492381,prospective_motor,False,24.0,0.0,0.5,0.01,7364.0,0.8799795744087393,0.1174420109352421
18,3211,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,16.0,0.037869557057042987,0.0,0.02,8.0,prospective_motor,False,48.0,0.0,0.5,0.02,29118.0,0.8871769157023695,0.037869557057042987
19,4175,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,8.0,0.1368969274487208,0.0,0.03,5.656854249492381,prospective_motor,False,24.0,0.0,0.5,0.03,7644.0,0.9002509229874649,0.1368969274487208
20,2566,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,2.0031956586722477,0.0,0.02,1.4142135623730951,prospective_motor,False,1.5,0.0,0.5,0.02,488.0,0.3577665496916344,2.0031956586722477
21,4028,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,8.0,0.11181331165455663,0.0,0.03,5.656854249492381,prospective_motor,False,24.0,0.0,0.5,0.03,8822.0,0.8327495142840541,0.11181331165455663
