,seed,backend,dt,neuron_type,n_type,N,min_max_rate,max_max_rate,tau,tau_control,dimensions,base_theta,effective_theta,c,within_gain_noise_std,between_gain_noise_std,input_noise_std,task_type,full_output,trial_duration,prestim,poststim,ID,rt,estimate,control
0,1014,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,1.007594327849373,0.0,0.01,2.0,prospective_sensory,False,1.0,0.0,0,0.01,,0.5802755479316379,1.007594327849373
1,2703,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,8.0,0.1372557271610175,0.0,0.01,5.656854249492381,prospective_sensory,False,8.0,0.0,0,0.01,6589.0,0.732501695550564,0.1372557271610175
2,488,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,2.065495709253729,0.0,0.03,1.4142135623730951,prospective_sensory,False,0.5,0.0,0,0.03,446.0,0.6761904240234465,2.065495709253729
3,1061,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.4514259221033202,0.0,0.03,2.8284271247461903,prospective_sensory,False,2.0,0.0,0,0.03,,0.5481424674715963,0.4514259221033202
4,2588,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,2.005035148008038,0.0,0.03,1.4142135623730951,prospective_sensory,False,0.5,0.0,0,0.03,491.0,0.6377263903639823,2.005035148008038
5,2514,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,8.0,0.11321347777214205,0.0,0.01,5.656854249492381,prospective_sensory,False,8.0,0.0,0,0.01,,0.6268602972892889,0.11321347777214205
6,3143,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.23446638257875546,0.0,0.03,4.0,prospective_sensory,False,4.0,0.0,0,0.03,3638.0,0.6716063162056214,0.23446638257875546
7,904,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,4.009777932847158,0.0,0.02,1.0,prospective_sensory,False,0.25,0.0,0,0.02,,0.6072653070343392,4.009777932847158
8,4620,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,4.00692368902476,0.0,0.01,1.0,prospective_sensory,False,0.25,0.0,0,0.01,239.0,0.6555474763196885,4.00692368902476
9,1375,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.44037230049433285,0.0,0.02,2.8284271247461903,prospective_sensory,False,2.0,0.0,0,0.02,,0.6261611602946425,0.44037230049433285
10,1020,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.24349821503281266,0.0,0.01,4.0,prospective_sensory,False,4.0,0.0,0,0.01,,0.5735856484236453,0.24349821503281266
11,329,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.1926107670428535,0.0,0.03,4.0,prospective_sensory,False,4.0,0.0,0,0.03,,0.46065592614327516,0.1926107670428535
12,108,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,1.9897309548820092,0.0,0.01,1.4142135623730951,prospective_sensory,False,0.5,0.0,0,0.01,,0.6044417009659095,1.9897309548820092
13,2362,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.5034732319752216,0.0,0.02,2.8284271247461903,prospective_sensory,False,2.0,0.0,0,0.02,1899.0,0.6423724658866161,0.5034732319752216
14,3107,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,16.0,0.07323794227075951,0.0,0.03,8.0,prospective_sensory,False,16.0,0.0,0,0.03,13314.0,0.7471298284111677,0.07323794227075951
15,2200,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,8.0,0.10929242683868624,0.0,0.02,5.656854249492381,prospective_sensory,False,8.0,0.0,0,0.02,7457.0,0.6547342841094528,0.10929242683868624
16,1203,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,1.0030330584384217,0.0,0.01,2.0,prospective_sensory,False,1.0,0.0,0,0.01,941.0,0.6526861598106307,1.0030330584384217
17,555,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.5014822720206517,0.0,0.01,2.8284271247461903,prospective_sensory,False,2.0,0.0,0,0.01,1575.0,0.6490684991541393,0.5014822720206517
18,299,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,1.9799109626766704,0.0,0.03,1.4142135623730951,prospective_sensory,False,0.5,0.0,0,0.03,467.0,0.6643655176525438,1.9799109626766704
19,4757,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.4987442867408706,0.0,0.03,2.8284271247461903,prospective_sensory,False,2.0,0.0,0,0.03,1887.0,0.650437255449504,0.4987442867408706
20,4769,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,4.004729493393445,0.0,0.03,1.0,prospective_sensory,False,0.25,0.0,0,0.03,232.0,0.6921429974063353,4.004729493393445
21,3029,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,2.0084618390605233,0.0,0.03,1.4142135623730951,prospective_sensory,False,0.5,0.0,0,0.03,,0.560830425281961,2.0084618390605233
22,4858,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,0.9976757236459294,0.0,0.02,2.0,prospective_sensory,False,1.0,0.0,0,0.02,,0.5663349234617265,0.9976757236459294
23,3711,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,8.0,0.10852394626074292,0.0,0.01,5.656854249492381,prospective_sensory,False,8.0,0.0,0,0.01,,0.5338711630560266,0.10852394626074292
24,4845,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,8.0,0.11508898479371696,0.0,0.01,5.656854249492381,prospective_sensory,False,8.0,0.0,0,0.01,,0.604901435818637,0.11508898479371696
25,2420,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,2.013953799455683,0.0,0.03,1.4142135623730951,prospective_sensory,False,0.5,0.0,0,0.03,497.0,0.6376934353150252,2.013953799455683
26,5002,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,1.9697138644010277,0.0,0.02,1.4142135623730951,prospective_sensory,False,0.5,0.0,0,0.02,,0.6245592904348634,1.9697138644010277
27,1824,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,16.0,0.07288694824243627,0.0,0.01,8.0,prospective_sensory,False,16.0,0.0,0,0.01,12677.0,0.7151921146684667,0.07288694824243627
28,20,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,16.0,0.08901679337852038,0.0,0.03,8.0,prospective_sensory,False,16.0,0.0,0,0.03,10830.0,0.8388980763656283,0.08901679337852038
29,2708,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,16.0,0.09538889318731741,0.0,0.03,8.0,prospective_sensory,False,16.0,0.0,0,0.03,7960.0,0.8920299797999183,0.09538889318731741
30,4586,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,1.0294902877563454,0.0,0.03,2.0,prospective_sensory,False,1.0,0.0,0,0.03,960.0,0.6452584462139962,1.0294902877563454
31,1581,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,0.9995952298588044,0.0,0.01,2.0,prospective_sensory,False,1.0,0.0,0,0.01,,0.5852493618888399,0.9995952298588044
32,1836,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.49239458445550566,0.0,0.01,2.8284271247461903,prospective_sensory,False,2.0,0.0,0,0.01,1851.0,0.6533631098856753,0.49239458445550566
33,1822,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,8.0,0.09500911137867268,0.0,0.02,5.656854249492381,prospective_sensory,False,8.0,0.0,0,0.02,,0.49970813624376353,0.09500911137867268
34,4760,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.31034503681331127,0.0,0.03,4.0,prospective_sensory,False,4.0,0.0,0,0.03,3429.0,0.7179759471202161,0.31034503681331127
35,2773,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,4.022226730952507,0.0,0.02,1.0,prospective_sensory,False,0.25,0.0,0,0.02,215.0,0.6766956671130837,4.022226730952507
36,1963,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.49902914715393726,0.0,0.02,2.8284271247461903,prospective_sensory,False,2.0,0.0,0,0.02,,0.5621472751232519,0.49902914715393726
37,2916,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,16.0,0.07597358190485165,0.0,0.01,8.0,prospective_sensory,False,16.0,0.0,0,0.01,14329.0,0.6710358898383306,0.07597358190485165
38,4320,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,8.0,0.11791738467091804,0.0,0.01,5.656854249492381,prospective_sensory,False,8.0,0.0,0,0.01,7243.0,0.6657509491087265,0.11791738467091804
39,2543,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,3.9865532583334766,0.0,0.03,1.0,prospective_sensory,False,0.25,0.0,0,0.03,229.0,0.673994953990863,3.9865532583334766
