,seed,backend,dt,neuron_type,n_type,N,min_max_rate,max_max_rate,tau,tau_control,dimensions,base_theta,effective_theta,c,within_gain_noise_std,between_gain_noise_std,input_noise_std,task_type,full_output,trial_duration,prestim,poststim,ID,rt,estimate,control
0,4446,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,8.0,0.125,0.0,0.0,2,prospective_motor,False,24.0,0.0,0.5,2,8164,0.8904855068621285,0.125
1,2771,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,16.0,0.0625,0.0,0.0,4,prospective_motor,False,48.0,0.0,0.5,4,15850,0.9299379583463979,0.0625
2,658,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,1.0,0.0,0.0,3,prospective_motor,False,3.0,0.0,0.5,3,1287,0.48350139882186066,1.0
3,460,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,16.0,0.0625,0.0,0.0,3,prospective_motor,False,48.0,0.0,0.5,3,16066,0.9348176393556915,0.0625
4,1614,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,16.0,0.0625,0.0,0.0,2,prospective_motor,False,48.0,0.0,0.5,2,16037,0.9247217496906759,0.0625
5,1210,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.25,0.0,0.0,3,prospective_motor,False,12.0,0.0,0.5,3,4082,0.8124824537050758,0.25
6,2524,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,2.0,0.0,0.0,3,prospective_motor,False,1.5,0.0,0.5,3,384,0.3291182158732624,2.0
7,3527,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,16.0,0.0625,0.0,0.0,4,prospective_motor,False,48.0,0.0,0.5,4,17107,0.9091685870550718,0.0625
8,2877,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,4.0,0.0,0.0,2,prospective_motor,False,0.75,0.0,0.5,2,348,0.2961586540081624,4.0
9,1283,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,4.0,0.0,0.0,4,prospective_motor,False,0.75,0.0,0.5,4,271,0.11066860728308903,4.0
10,4053,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,4.0,0.0,0.0,2,prospective_motor,False,0.75,0.0,0.5,2,259,0.026595799361478267,4.0
11,2118,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,16.0,0.0625,0.0,0.0,2,prospective_motor,False,48.0,0.0,0.5,2,16619,0.9220421773022109,0.0625
