,seed,backend,dt,neuron_type,n_type,N,min_max_rate,max_max_rate,tau,tau_control,dimensions,base_theta,effective_theta,c,within_gain_noise_std,between_gain_noise_std,input_noise_std,task_type,full_output,trial_duration,prestim,poststim,ID,rt,estimate,control
0,5053,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.25,0.0,0.0,3,prospective_sensory,False,4.0,0.0,0,3,,0.6281107134042003,0.25
1,3398,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,8.0,0.125,0.0,0.0,4,prospective_sensory,False,8.0,0.0,0,4,,0.588422989622001,0.125
2,2102,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,4.0,0.0,0.0,4,prospective_sensory,False,0.25,0.0,0,4,,0.602578687699149,4.0
3,1091,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,16.0,0.0625,0.0,0.0,4,prospective_sensory,False,16.0,0.0,0,4,,0.6296697391850792,0.0625
4,2570,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,1.0,0.0,0.0,4,prospective_sensory,False,1.0,0.0,0,4,,0.5236570159891806,1.0
5,2373,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,4.0,0.0,0.0,2,prospective_sensory,False,0.25,0.0,0,2,248.0,0.6285107535932447,4.0
6,3371,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.5,0.0,0.0,4,prospective_sensory,False,2.0,0.0,0,4,1749.0,0.6350335352109046,0.5
7,4491,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,16.0,0.0625,0.0,0.0,2,prospective_sensory,False,16.0,0.0,0,2,,0.6267729768513498,0.0625
8,1932,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,4.0,0.0,0.0,2,prospective_sensory,False,0.25,0.0,0,2,,0.49691493187155106,4.0
9,652,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,4.0,0.0,0.0,3,prospective_sensory,False,0.25,0.0,0,3,182.0,0.6853140624326077,4.0
10,622,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.25,0.0,0.0,3,prospective_sensory,False,4.0,0.0,0,3,,0.6150132785333938,0.25
11,121,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,8.0,0.125,0.0,0.0,3,prospective_sensory,False,8.0,0.0,0,3,,0.6238646608913577,0.125
12,4530,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,8.0,0.125,0.0,0.0,2,prospective_sensory,False,8.0,0.0,0,2,,0.6011352520911181,0.125
13,3164,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.25,0.0,0.0,4,prospective_sensory,False,4.0,0.0,0,4,3821.0,0.6670048947468143,0.25
14,2619,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,8.0,0.125,0.0,0.0,2,prospective_sensory,False,8.0,0.0,0,2,7840.0,0.6360664065132704,0.125
15,3232,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,16.0,0.0625,0.0,0.0,3,prospective_sensory,False,16.0,0.0,0,3,15792.0,0.6413805495541349,0.0625
16,4283,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,16.0,0.0625,0.0,0.0,4,prospective_sensory,False,16.0,0.0,0,4,,0.6276396483064417,0.0625
17,5218,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.5,0.0,0.0,3,prospective_sensory,False,2.0,0.0,0,3,1886.0,0.6349754219483812,0.5
18,218,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,1.0,0.0,0.0,4,prospective_sensory,False,1.0,0.0,0,4,818.0,0.708702922456442,1.0
19,3237,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,2.0,0.0,0.0,2,prospective_sensory,False,0.5,0.0,0,2,451.0,0.6582660775166138,2.0
