,seed,backend,dt,neuron_type,n_type,N,min_max_rate,max_max_rate,tau,tau_control,dimensions,base_theta,effective_theta,within_gain_noise_std,between_gain_noise_std,input_noise_std,task_type,full_output,trial_duration,prestim,rt,estimate,control
0,4895,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.8,0.0,0.8,prospective_sensory,False,0.3535533905932738,0.0,,0.6488216686453452,2.82842712474619
1,8391,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,0.4,0.01,0.0,prospective_sensory,False,1.0,0.0,,0.6272724108073979,1.0006859272085626
2,18575,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.8,0.01,0.8,prospective_sensory,False,0.7071067811865476,0.0,,0.6565858233918938,1.418461512090323
3,10950,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.8,0.005,0.0,prospective_sensory,False,0.25,0.0,,0.6108739016980429,3.9981936165185497
4,14077,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.0,0.005,0.4,prospective_sensory,False,4.0,0.0,,0.6281244451839472,0.2462379129884988
5,22642,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.8,0.005,0.4,prospective_sensory,False,0.3535533905932738,0.0,,0.6350923610006914,2.836553099884826
6,22183,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.8,0.005,0.4,prospective_sensory,False,0.5,0.0,,0.6389069554359635,1.9930788262095234
7,7574,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.4,0.005,0.8,prospective_sensory,False,0.3535533905932738,0.0,,0.6297000403000687,2.833486461253246
8,15862,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.4,0.005,0.4,prospective_sensory,False,0.5,0.0,,0.611596850184799,1.9965179132020636
9,16582,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.4,0.0,0.4,prospective_sensory,False,0.5,0.0,,0.5986299463202515,2.0
10,4463,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.8,0.0,0.8,prospective_sensory,False,0.7071067811865476,0.0,,0.6158964604396295,1.414213562373095
11,18796,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.4,0.0,0.4,prospective_sensory,False,0.7071067811865476,0.0,,0.6209251578297272,1.414213562373095
12,3021,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.8,0.01,0.0,prospective_sensory,False,0.7071067811865476,0.0,,0.6419522488230485,1.4374845677748453
13,22012,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.4142135623730951,0.8,0.0,0.4,prospective_sensory,False,1.4142135623730951,0.0,,0.6147153173556973,0.7071067811865475
14,11005,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.8,0.005,0.4,prospective_sensory,False,0.5,0.0,,0.6234813881811055,1.9999417877048267
15,11435,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.4,0.005,0.8,prospective_sensory,False,0.25,0.0,,0.6032267197011388,4.01033429036441
16,22879,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.0,0.005,0.4,prospective_sensory,False,0.3535533905932738,0.0,,0.6336389400719452,2.8303380165930627
17,11936,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.0,0.0,0.8,prospective_sensory,False,0.3535533905932738,0.0,,0.6104222009258481,2.82842712474619
18,11182,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.4,0.0,0.4,prospective_sensory,False,0.25,0.0,,0.5848992449850773,4.0
19,22877,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.8,0.0,0.8,prospective_sensory,False,0.3535533905932738,0.0,,0.656471439631422,2.82842712474619
20,7368,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.8,0.01,0.0,prospective_sensory,False,0.5,0.0,,0.6270636214100502,2.000654471433177
21,19137,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.4,0.01,0.0,prospective_sensory,False,2.0,0.0,,0.6284911507463268,0.509076541934046
22,21929,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.4,0.0,0.8,prospective_sensory,False,0.5,0.0,,0.6464169690256152,2.0
23,17811,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.0,0.01,0.0,prospective_sensory,False,0.5,0.0,,0.6220410530947872,2.002028871340841
24,7403,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,0.4,0.0,0.8,prospective_sensory,False,1.0,0.0,,0.6160738996055954,1.0
25,17828,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.8,0.0,0.8,prospective_sensory,False,0.7071067811865476,0.0,,0.6322161673596672,1.414213562373095
26,10836,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.4142135623730951,0.0,0.005,0.0,prospective_sensory,False,1.4142135623730951,0.0,,0.6289726260727692,0.7105017086017367
27,23432,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.4,0.01,0.8,prospective_sensory,False,0.7071067811865476,0.0,,0.6416162100859824,1.4277812851493301
28,299,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.0,0.0,0.8,prospective_sensory,False,0.5,0.0,,0.6283821904810035,2.0
29,17425,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.0,0.005,0.4,prospective_sensory,False,2.0,0.0,,0.6258400212125076,0.4966598713761529
30,9754,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.8,0.0,0.4,prospective_sensory,False,0.3535533905932738,0.0,,0.6174151467817708,2.82842712474619
31,13552,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.8,0.01,0.4,prospective_sensory,False,2.0,0.0,,0.6126670769803694,0.5071817493459722
32,2342,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.4142135623730951,0.0,0.01,0.8,prospective_sensory,False,1.4142135623730951,0.0,,0.6206213341144169,0.6998845366645853
33,22823,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.8,0.0,0.8,prospective_sensory,False,4.0,0.0,,0.6457945127832373,0.25
34,23927,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,0.4,0.0,0.8,prospective_sensory,False,1.0,0.0,,0.6267025228484061,1.0
35,2055,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,0.4,0.0,0.0,prospective_sensory,False,1.0,0.0,,0.6308153113206081,1.0
36,17815,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.4,0.01,0.4,prospective_sensory,False,0.5,0.0,,0.6390226384256579,1.987812944165159
37,23584,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.4,0.005,0.4,prospective_sensory,False,0.25,0.0,,0.597498559532005,4.000061042694002
38,450,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.8284271247461903,0.0,0.01,0.0,prospective_sensory,False,2.8284271247461903,0.0,,0.6415111967449827,0.3660589271805692
39,3019,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.4,0.01,0.4,prospective_sensory,False,0.7071067811865476,0.0,,0.6344577236043282,1.41365329244936
40,21492,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,0.0,0.0,0.0,prospective_sensory,False,1.0,0.0,,0.6260073216988852,1.0
41,17423,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.8,0.0,0.8,prospective_sensory,False,2.0,0.0,,0.6133688533096767,0.5
42,20013,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.8,0.0,0.0,prospective_sensory,False,0.7071067811865476,0.0,,0.620295808168556,1.414213562373095
43,24240,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.4,0.01,0.0,prospective_sensory,False,2.0,0.0,,0.6288913661144315,0.49245340566358736
44,16006,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.8284271247461903,0.4,0.01,0.4,prospective_sensory,False,2.8284271247461903,0.0,,0.6416515308357313,0.3589498213425656
45,13540,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.4,0.005,0.4,prospective_sensory,False,2.0,0.0,,0.6240356429210006,0.49537473198727333
46,15381,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.0,0.01,0.0,prospective_sensory,False,0.5,0.0,,0.6232636003463965,2.008689045153264
47,16759,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.0,0.01,0.4,prospective_sensory,False,4.0,0.0,,0.6156735559030674,0.24083708651040775
48,7224,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.8,0.005,0.0,prospective_sensory,False,2.0,0.0,,0.6258513992776129,0.5021145392577676
49,17528,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.4,0.0,0.8,prospective_sensory,False,0.3535533905932738,0.0,,0.6116344242766979,2.82842712474619
50,24209,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.4142135623730951,0.8,0.005,0.8,prospective_sensory,False,1.4142135623730951,0.0,,0.6041425950512369,0.7065935657093736
51,17382,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,0.4,0.01,0.0,prospective_sensory,False,1.0,0.0,,0.6251403149797176,0.9911045953164234
52,24193,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.4142135623730951,0.0,0.0,0.4,prospective_sensory,False,1.4142135623730951,0.0,,0.6259530774444939,0.7071067811865475
53,18449,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.8,0.0,0.8,prospective_sensory,False,4.0,0.0,,0.6615944926851351,0.25
54,19486,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.0,0.01,0.4,prospective_sensory,False,0.3535533905932738,0.0,,0.6328742437359758,2.8268358287258786
55,22779,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.0,0.01,0.0,prospective_sensory,False,2.0,0.0,,0.6263639422228848,0.4975747701955099
56,9541,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.0,0.005,0.4,prospective_sensory,False,0.5,0.0,,0.6133291866435058,2.001141633493546
57,2953,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.0,0.005,0.4,prospective_sensory,False,0.3535533905932738,0.0,,0.589279423566574,2.8219974776570704
58,8208,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.8284271247461903,0.0,0.0,0.0,prospective_sensory,False,2.8284271247461903,0.0,,0.6287225828803963,0.35355339059327373
59,5665,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.4,0.01,0.4,prospective_sensory,False,0.5,0.0,,0.6544933882258642,2.0116115258337617
60,4283,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.4142135623730951,0.8,0.005,0.8,prospective_sensory,False,1.4142135623730951,0.0,,0.613813121112983,0.7022011571816899
61,990,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.0,0.01,0.0,prospective_sensory,False,0.25,0.0,,0.6119777459034378,3.9911625778933626
62,17904,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.4,0.0,0.0,prospective_sensory,False,2.0,0.0,,0.6342075932487513,0.5
63,10394,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.8,0.01,0.8,prospective_sensory,False,2.0,0.0,,0.6132569313732367,0.49340137293604386
64,11572,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.4142135623730951,0.8,0.005,0.4,prospective_sensory,False,1.4142135623730951,0.0,,0.6229072833532465,0.7081853932295742
65,1558,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.0,0.01,0.4,prospective_sensory,False,0.7071067811865476,0.0,,0.628226751324537,1.4133771971898936
66,250,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.8,0.0,0.4,prospective_sensory,False,0.25,0.0,,0.5905276296860493,4.0
67,12631,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.4,0.01,0.4,prospective_sensory,False,4.0,0.0,,0.6097034113037094,0.24683035060288683
68,5260,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.4142135623730951,0.4,0.01,0.4,prospective_sensory,False,1.4142135623730951,0.0,,0.6350924816074919,0.7079501658025561
69,16256,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.0,0.0,0.8,prospective_sensory,False,4.0,0.0,,0.611374022631217,0.25
70,7638,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.8,0.01,0.0,prospective_sensory,False,0.7071067811865476,0.0,,0.6323900840162286,1.4236765760415835
71,12654,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.0,0.01,0.0,prospective_sensory,False,0.25,0.0,,0.610832472641002,3.978759119148013
72,21864,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.4,0.01,0.0,prospective_sensory,False,4.0,0.0,,0.6398702228988832,0.2503106434517462
73,13374,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.0,0.005,0.0,prospective_sensory,False,0.25,0.0,,0.6133746258393977,4.006340437760365
74,9275,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.4,0.005,0.8,prospective_sensory,False,0.3535533905932738,0.0,,0.6030674199921211,2.839465200866643
75,15080,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.4,0.005,0.8,prospective_sensory,False,0.25,0.0,,0.5761378979973738,4.003538946346779
76,9466,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.8,0.005,0.4,prospective_sensory,False,4.0,0.0,,0.6343350245270447,0.2515650770683084
77,22853,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.0,0.005,0.8,prospective_sensory,False,0.25,0.0,,0.6060257316340276,3.994422399757474
78,22983,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.4142135623730951,0.8,0.0,0.0,prospective_sensory,False,1.4142135623730951,0.0,,0.6311716483882643,0.7071067811865475
79,9596,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,0.0,0.005,0.8,prospective_sensory,False,1.0,0.0,,0.6405333589150008,0.9956855560057198
80,1450,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.0,0.01,0.4,prospective_sensory,False,4.0,0.0,,0.6431689634581047,0.2568355792963313
