,seed,backend,dt,neuron_type,n_type,N,min_max_rate,max_max_rate,tau,tau_control,dimensions,base_theta,effective_theta,c,within_gain_noise_std,between_gain_noise_std,input_noise_std,task_type,full_output,trial_duration,prestim,poststim,ID,rt,estimate,control
0,1598,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.21754964008894462,0.0,0.02,4.0,prospective_motor,False,12.0,0.0,0.5,2,4133,0.8478547259633449,0.21754964008894462
1,1609,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,8.0,0.13764949264572293,0.0,0.02,5.656854249492381,prospective_motor,False,24.0,0.0,0.5,2,6354,0.8747068398454729,0.13764949264572293
2,657,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.4953099669624104,0.0,0.02,2.8284271247461903,prospective_motor,False,6.0,0.0,0.5,2,2296,0.7610528172041402,0.4953099669624104
3,602,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.47979865529746346,0.0,0.02,2.8284271247461903,prospective_motor,False,6.0,0.0,0.5,2,1733,0.7348850176841784,0.47979865529746346
4,2150,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,1.9931310366302744,0.0,0.02,1.4142135623730951,prospective_motor,False,1.5,0.0,0.5,2,528,0.2983823287801135,1.9931310366302744
5,1681,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,1.006246176372807,0.0,0.02,2.0,prospective_motor,False,3.0,0.0,0.5,2,909,0.574561771860076,1.006246176372807
6,1525,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,2.0087047059576575,0.0,0.02,1.4142135623730951,prospective_motor,False,1.5,0.0,0.5,2,575,0.41106794583894246,2.0087047059576575
7,1405,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,1.9634715237472804,0.0,0.02,1.4142135623730951,prospective_motor,False,1.5,0.0,0.5,2,457,0.3545100723256965,1.9634715237472804
8,218,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.23180915306788732,0.0,0.02,4.0,prospective_motor,False,12.0,0.0,0.5,2,3529,0.7985270433912827,0.23180915306788732
9,2236,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,1.006278027670643,0.0,0.02,2.0,prospective_motor,False,3.0,0.0,0.5,2,1037,0.6328427385401894,1.006278027670643
10,1056,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,0.9732723186464,0.0,0.02,2.0,prospective_motor,False,3.0,0.0,0.5,2,1249,0.5605053809432397,0.9732723186464
11,661,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,1.0007797012844672,0.0,0.02,2.0,prospective_motor,False,3.0,0.0,0.5,2,1212,0.4995653570908425,1.0007797012844672
12,1353,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.259011769506117,0.0,0.02,4.0,prospective_motor,False,12.0,0.0,0.5,2,3414,0.8581862252328919,0.259011769506117
