,seed,backend,dt,neuron_type,n_type,N,min_max_rate,max_max_rate,tau,tau_control,dimensions,base_theta,effective_theta,c,within_gain_noise_std,between_gain_noise_std,input_noise_std,task_type,full_output,trial_duration,prestim,poststim,ID,rt,estimate,control
0,456,nengo,0.001,default,LIF(),600,20,50,0.1,0.005,3,1.0,0.5,2.0,0.0,0.0,1.4142135623730951,prospective_motor,False,1.5,0.0,0.5,2,492,0.9129738056879632,2.0
1,4,nengo,0.001,default,LIF(),600,20,50,0.1,0.005,3,1.0,0.5,2.0,0.0,0.0,1.4142135623730951,prospective_motor,False,1.5,0.0,0.5,2,484,0.9826903870690629,2.0
2,447,nengo,0.001,default,LIF(),600,20,50,0.1,0.005,3,1.0,4.0,0.25,0.0,0.0,4.0,prospective_motor,False,12.0,0.0,0.5,2,3654,1.0275696938469334,0.25
3,781,nengo,0.001,default,LIF(),600,20,50,0.1,0.005,3,1.0,1.0,1.0,0.0,0.0,2.0,prospective_motor,False,3.0,0.0,0.5,2,973,0.992339438933801,1.0
4,789,nengo,0.001,default,LIF(),600,20,50,0.1,0.005,3,1.0,1.0,1.0,0.0,0.0,2.0,prospective_motor,False,3.0,0.0,0.5,2,984,1.1136531125492184,1.0
5,435,nengo,0.001,default,LIF(),600,20,50,0.1,0.005,3,1.0,4.0,0.25,0.0,0.0,4.0,prospective_motor,False,12.0,0.0,0.5,2,3470,0.9835118257697506,0.25
6,534,nengo,0.001,default,LIF(),600,20,50,0.1,0.005,3,1.0,2.0,0.5,0.0,0.0,2.8284271247461903,prospective_motor,False,6.0,0.0,0.5,2,1782,1.0478838159061483,0.5
7,657,nengo,0.001,default,LIF(),600,20,50,0.1,0.005,3,1.0,1.0,1.0,0.0,0.0,2.0,prospective_motor,False,3.0,0.0,0.5,2,940,0.884503452459547,1.0
8,139,nengo,0.001,default,LIF(),600,20,50,0.1,0.005,3,1.0,4.0,0.25,0.0,0.0,4.0,prospective_motor,False,12.0,0.0,0.5,2,3489,1.0927056255246654,0.25
9,733,nengo,0.001,default,LIF(),600,20,50,0.1,0.005,3,1.0,1.0,1.0,0.0,0.0,2.0,prospective_motor,False,3.0,0.0,0.5,2,974,0.9683175353976712,1.0
